id,mean,median,min,max,sd,type,landcover,geometry
rural_913,0.2236897962258858,0.23807676623181276,-0.0656486340171679,0.7160005820694836,0.1487231108800193,rural,40,"c(-7.8051170307633, 13.4044222275512)"
rural_914,0.13249539918814127,0.1583632740116822,-0.1812189324610607,0.4117222484810264,0.13372954963764852,rural,20,"c(20.6818865093559, -14.8887802167102)"
rural_915,0.18255400152094073,0.18308224833665854,-0.174371458430232,0.6986825343002359,0.15574730041745588,rural,20,"c(13.0028921951635, 8.63672817514499)"
rural_916,0.13858502871474715,0.1563295157982969,-0.1470223439986764,0.3682226717730376,0.13547593030569532,rural,20,"c(28.7211276715436, -18.3155288895525)"
rural_917,0.13216664162390923,0.1462204002457015,-0.1582812031587446,0.4018200555598528,0.133056234325036,rural,20,"c(16.0314257044071, -11.9254541957494)"
rural_918,0.15960247867735827,0.16100316482628665,-0.1437510716869261,1.254289734862627,0.17489149184966893,rural,40,"c(28.8287599230675, -14.0486132006192)"
rural_919,0.17069878490211407,0.15973393352330179,-0.2055183245582537,1.0075893584044362,0.16967733756942532,rural,10,"c(13.5306551902215, -6.12938826440334)"
rural_92,0.13189996153133265,0.14837617426917846,-0.154327266735512,0.4422134085523782,0.13297971725604374,rural,10,"c(17.5477962090301, -14.2888529409247)"
rural_920,0.23010000634217764,0.2416524630212189,-0.0423220822186179,0.515103957433043,0.124452176843342,rural,60,"c(-14.533225480902, 20.9459219806097)"
rural_921,0.1353155523272577,0.14154812909679954,-0.1616424093419752,0.4908606525014832,0.1402024232842468,rural,10,"c(20.0689492329569, -11.6181935983412)"
rural_922,0.14616998889461108,0.16699466802799046,-0.129640240187332,0.3538197924062249,0.12760000027448393,rural,10,"c(34.6399454683411, -22.9720971530253)"
rural_923,0.1661599978475327,0.1794650170170084,-0.1570316161603084,0.5926313243085505,0.14553175521125203,rural,30,"c(12.2870553555978, 4.00951399021863)"
rural_924,0.2306476128200924,0.24435776858001895,-0.0301740345789169,0.4699641692433825,0.12495393792526703,rural,60,"c(-16.1203628984794, 20.1335518945322)"
rural_925,0.17947707753132733,0.1997258962317036,-0.1629566295141539,0.6192399296109049,0.14062455642544403,rural,40,"c(5.87928713569696, 13.2092797807163)"
rural_926,0.38939951053564015,0.1650091107013355,-0.1310086408142837,12.70745017902494,1.4317524573020206,rural,30,"c(26.1317593844747, -16.6817479273913)"
rural_927,0.1754427314349946,0.19876705091148889,-0.1436957043473714,0.4036651994801829,0.1391425588482804,rural,30,"c(0.0161584817245851, 11.3551963817375)"
rural_928,0.20616743005067892,0.22542508597867875,-0.0841960778707901,0.4693712772672221,0.13406750130255835,rural,30,"c(-2.02184165691361, 16.6614012866393)"
rural_929,0.14582386980532758,0.1670887205539261,-0.1694068710820148,0.3722516771276182,0.12810736412087553,rural,10,"c(38.300188620329, -16.3531591409285)"
rural_93,0.20677895559487242,0.22782755083961953,-0.0763525569248949,0.4682847373258296,0.12771925289036734,rural,60,"c(-11.1918424534247, 18.4998359424467)"
rural_930,0.17695207850092173,0.19356112255515068,-0.1902735211730518,0.4822836872765434,0.1382064934916321,rural,30,"c(37.9612949281188, 1.9450549987171)"
rural_931,0.23217391873133347,0.2530175103421925,-0.0645510345616113,0.5496511134553129,0.12643951410067694,rural,60,"c(-7.19705527711487, 20.2524128616002)"
rural_932,0.21804480193418455,0.23222337761240114,-0.0992746115381321,0.4866182751593644,0.12961068271585147,rural,60,"c(-10.4988230435547, 18.4798386341921)"
