site_id,site_name,year_image,year_commissioned,site_type,mean_image_value,median_image_value,group,time_period
5,Bandajuma Yawei,2019,2021,PowerGen,0.1877225757412201,0.21369391327936235,8,6
5,Bandajuma Yawei,2020,2021,PowerGen,0.2786189867435158,0.27803236536969583,8,7
5,Bandajuma Yawei,2021,2021,PowerGen,0.29811843977503466,0.3163135025440432,8,8
5,Bandajuma Yawei,2022,2021,PowerGen,0.32395179597696017,0.305215764871911,8,9
5,Bandajuma Yawei,2023,2021,PowerGen,0.32340464183627377,0.3745819874247147,8,10
6,Baoma,2014,2021,PowerGen,0.0784013115734835,0.0999751272016437,8,1
6,Baoma,2015,2021,PowerGen,0.09926647196180664,0.1034946034375473,8,2
6,Baoma,2016,2021,PowerGen,0.08004004146950618,0.08034187531411954,8,3
6,Baoma,2017,2021,PowerGen,0.25999951548887035,0.24535761918529225,8,4
6,Baoma,2018,2021,PowerGen,0.2303831194531255,0.25369845922666917,8,5
6,Baoma,2019,2021,PowerGen,0.1893233187267375,0.1883541683702475,8,6
6,Baoma,2020,2021,PowerGen,0.24527816527814322,0.25141955711329406,8,7
6,Baoma,2021,2021,PowerGen,0.33834246415680524,0.3269825432814649,8,8
6,Baoma,2022,2021,PowerGen,0.35044035383007827,0.366277935293135,8,9
6,Baoma,2023,2021,PowerGen,0.33349201695584424,0.3418705032123782,8,10
7,Baomahun,2014,2021,PowerGen,0.24622236734198394,0.23754051437152035,8,1
7,Baomahun,2015,2021,PowerGen,0.26965269856319607,0.26717151474054013,8,2
7,Baomahun,2016,2021,PowerGen,0.18592166523258072,0.18193900032613974,8,3
7,Baomahun,2017,2021,PowerGen,0.41251118291311095,0.390245074250757,8,4
7,Baomahun,2018,2021,PowerGen,0.35331305617023473,0.36841351860267835,8,5
7,Baomahun,2019,2021,PowerGen,0.30626240302605084,0.302400147443594,8,6
7,Baomahun,2020,2021,PowerGen,0.40951719755447175,0.4319584279160861,8,7
7,Baomahun,2021,2021,PowerGen,0.39721136053901374,0.45421060891388815,8,8
7,Baomahun,2022,2021,PowerGen,0.5656561083848067,0.5582928787401424,8,9
7,Baomahun,2023,2021,PowerGen,0.6423770109149748,0.6424936083851513,8,10
8,Barma,2014,2014,Control,0.06737967918476082,0.0535665295831474,0,1
8,Barma,2015,2014,Control,0.12996467884087376,0.1501175623566679,0,2
8,Barma,2016,2014,Control,0.09102130733003015,0.0814312587638876,0,3
8,Barma,2017,2014,Control,0.24782332925028355,0.2424993545612848,0,4
8,Barma,2018,2014,Control,0.28967763196890933,0.3120147404562311,0,5
