site_name,site_type,date_commissioned,image_date,image_value,mean_image_value,min_image_value,max_image_value,site_id,year_commissioned,year_image,month_commissioned,month_image,group,time_period
tree_41,tree,2014-01-01,2019-08-01,0.2137291015895385,0.26055652884465474,-0.4226407994594552,0.9437538571487648,116,2014,2019,1,8,0,67
tree_42,tree,2014-01-01,2019-08-01,0.2327761523361952,0.2626369619104255,-0.4205603663936845,0.9458342902145356,117,2014,2019,1,8,0,67
tree_43,tree,2014-01-01,2019-08-01,0.2169808970871498,0.21006846571147825,-0.4731288625926317,0.8932657940155881,118,2014,2019,1,8,0,67
tree_44,tree,2014-01-01,2019-08-01,0.2139780562503274,0.23882043908914932,-0.44437688921496066,0.9220177673932592,119,2014,2019,1,8,0,67
tree_45,tree,2014-01-01,2019-08-01,0.2193034736024284,0.1968536362578048,-0.4863436920463052,0.8800509645619148,120,2014,2019,1,8,0,67
tree_46,tree,2014-01-01,2019-08-01,0.2019759441984511,0.2091654160525304,-0.47403191225157953,0.8923627443566404,121,2014,2019,1,8,0,67
tree_47,tree,2014-01-01,2019-08-01,0.2203297599514902,0.21074924961045463,-0.4724480786936553,0.8939465779145646,122,2014,2019,1,8,0,67
tree_48,tree,2014-01-01,2019-08-01,0.1945133296983671,0.2155312041718945,-0.4676661241322154,0.8987285324760045,123,2014,2019,1,8,0,67
tree_49,tree,2014-01-01,2019-08-01,0.1894548415749522,0.19708879902930557,-0.4861085292748044,0.8802861273334155,124,2014,2019,1,8,0,67
tree_50,tree,2014-01-01,2019-08-01,0.251084533145773,0.20260961065649571,-0.4805877176476142,0.8858069389606057,126,2014,2019,1,8,0,67
tree_51,tree,2014-01-01,2019-08-01,0.1323659416388212,0.2059793748643486,-0.47721795343976137,0.8891767031684585,127,2014,2019,1,8,0,67
tree_52,tree,2014-01-01,2019-08-01,0.2385038265956257,0.2664366813203302,-0.41676064698377974,0.9496340096244402,128,2014,2019,1,8,0,67
tree_53,tree,2014-01-01,2019-08-01,0.1849263735288003,0.22536838589674507,-0.4578289424073649,0.908565714200855,129,2014,2019,1,8,0,67
tree_54,tree,2014-01-01,2019-08-01,0.1704193996325681,0.208296502254918,-0.4749008260491919,0.891493830559028,130,2014,2019,1,8,0,67
tree_0,tree,2014-01-01,2019-09-01,0.111626764450584,0.25398987244467014,-0.4292074558594398,0.93718720074878,80,2014,2019,1,9,0,68
tree_1,tree,2014-01-01,2019-09-01,0,0.23763950916756793,-0.445557819136542,0.920836837471678,81,2014,2019,1,9,0,68
tree_2,tree,2014-01-01,2019-09-01,0.1237500797220713,0.20925047017778023,-0.4739468581263297,0.8924477984818902,92,2014,2019,1,9,0,68
tree_3,tree,2014-01-01,2019-09-01,0.1943506143883853,0.20567965530344923,-0.4775176730006607,0.8888769836075592,103,2014,2019,1,9,0,68
tree_4,tree,2014-01-01,2019-09-01,0.1797761162360932,0.201780376966838,-0.4814169513372719,0.884977705270948,114,2014,2019,1,9,0,68
tree_5,tree,2014-01-01,2019-09-01,0.1473201862701257,0.24596762740859987,-0.43722970089551005,0.92916495571271,125,2014,2019,1,9,0,68
tree_6,tree,2014-01-01,2019-09-01,0.2112863464472469,0.19614922787930816,-0.48704810042480184,0.8793465561834181,131,2014,2019,1,9,0,68
tree_7,tree,2014-01-01,2019-09-01,0.3175906420260618,0.22065971864712336,-0.4625376096569866,0.9038570469512331,132,2014,2019,1,9,0,68
tree_8,tree,2014-01-01,2019-09-01,0.2482681097963531,0.22024804314827584,-0.4629492851558341,0.9034453714523858,133,2014,2019,1,9,0,68
tree_9,tree,2014-01-01,2019-09-01,0.0658209789107281,0.2066558921981465,-0.47654143610596345,0.8898532205022565,134,2014,2019,1,9,0,68
tree_10,tree,2014-01-01,2019-09-01,0.1541461436060901,0.2134168211403355,-0.46978050716377445,0.8966141494444455,82,2014,2019,1,9,0,68
tree_11,tree,2014-01-01,2019-09-01,0.173011400994242,0.22039722700936032,-0.4628001012947496,0.9035945553134704,83,2014,2019,1,9,0,68
tree_12,tree,2014-01-01,2019-09-01,0.0358644637966966,0.2019421466106771,-0.4812551816934328,0.8851394749147871,84,2014,2019,1,9,0,68
tree_13,tree,2014-01-01,2019-09-01,0.0413776533452538,0.21508243080322276,-0.4681148975008872,0.8982797591073327,85,2014,2019,1,9,0,68
tree_14,tree,2014-01-01,2019-09-01,0.305839280546745,0.204602611321553,-0.47859471698255696,0.887799939625663,86,2014,2019,1,9,0,68
tree_15,tree,2014-01-01,2019-09-01,0.2576079374492417,0.2122490989264463,-0.4709482293776637,0.8954464272305562,87,2014,2019,1,9,0,68
tree_16,tree,2014-01-01,2019-09-01,0,0.20542906948166664,-0.47776825882244334,0.8886263977857766,88,2014,2019,1,9,0,68
tree_17,tree,2014-01-01,2019-09-01,0,0.20444999049275636,-0.4787473378113536,0.8876473187968663,89,2014,2019,1,9,0,68
tree_18,tree,2014-01-01,2019-09-01,0.1883590151924747,0.2079087902425157,-0.4752885380615942,0.8911061185466257,90,2014,2019,1,9,0,68
tree_19,tree,2014-01-01,2019-09-01,0.0455213190528936,0.22281001104456863,-0.4603873172595413,0.9060073393486786,91,2014,2019,1,9,0,68
tree_20,tree,2014-01-01,2019-09-01,0.1741789034299734,0.2420150211581639,-0.4411823071459461,0.9252123494622738,93,2014,2019,1,9,0,68
tree_21,tree,2014-01-01,2019-09-01,0.1274004132224059,0.20763090560077407,-0.4755664227033359,0.8908282339048841,94,2014,2019,1,9,0,68
tree_22,tree,2014-01-01,2019-09-01,0.1225430171077208,0.2504913899810563,-0.4327059383230537,0.9336887182851664,95,2014,2019,1,9,0,68
tree_23,tree,2014-01-01,2019-09-01,0.0563781122374962,0.21125556802122736,-0.4719417602828826,0.8944528963253373,96,2014,2019,1,9,0,68
tree_24,tree,2014-01-01,2019-09-01,0.2185535718475349,0.32154463599673766,-0.3616526923073723,1.0047419643008475,97,2014,2019,1,9,0,68
tree_25,tree,2014-01-01,2019-09-01,0.0390772465609527,0.21634245312823508,-0.4668548751758749,0.899539781432345,98,2014,2019,1,9,0,68
tree_26,tree,2014-01-01,2019-09-01,0.151279116212704,0.19958587349496337,-0.4836114548091466,0.8827832017990733,99,2014,2019,1,9,0,68
tree_27,tree,2014-01-01,2019-09-01,0.1224451625404819,0.2663618256833411,-0.4168355026207689,0.949559153987451,100,2014,2019,1,9,0,68
tree_28,tree,2014-01-01,2019-09-01,0.194904815252058,0.2074945425784819,-0.4757027857256281,0.8906918708825918,101,2014,2019,1,9,0,68
