id,center,image_date,image_value,type
water_42,"[-12.3339437668326, 7.378198866912815]",2022-09-01,0.2755956417581023,water
water_43,"[-12.208179627045473, 7.360232561241698]",2022-09-01,0.2512490043203264,water
water_44,"[-12.019533417392697, 7.252434727128357]",2022-09-01,0.3591578719964229,water
water_45,"[-11.723089373642267, 7.189552657250459]",2022-09-01,0.2876446285200661,water
water_46,"[-11.723089373635066, 7.180569504401877]",2022-09-01,0.2636975899706951,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-09-01,0.3299866636442113,water
water_48,"[-11.516476858288623, 7.180569504403723]",2022-09-01,0.3830323211156849,water
water_49,"[-11.705123067960347, 7.17158635157053]",2022-09-01,0.3074089578479931,water
water_50,"[-11.696139915113449, 7.162603198724094]",2022-09-01,0.3665938683718428,water
water_51,"[-11.830887207734873, 7.153620045877145]",2022-09-01,0.3567418780326565,water
water_52,"[-11.759021984998498, 7.126670587344687]",2022-09-01,0.3482913716813142,water
water_53,"[-11.54342631682305, 7.009889600421488]",2022-09-01,0.2646565465711705,water
water_0,"[-12.666320421819876, 9.004149531159928]",2022-10-01,0.4850955110419121,water
water_1,"[-13.23225905083299, 8.95923376696415]",2022-10-01,0.4674184658046828,water
water_2,"[-12.792084561613684, 8.941267461291122]",2022-10-01,0.4550758994632858,water
water_3,"[-13.124461216741897, 8.923301155597281]",2022-10-01,0.4409746959631408,water
water_4,"[-13.043612841166503, 8.923301155604603]",2022-10-01,0.4269915631389442,water
water_5,"[-13.23225905084012, 8.914318002754365]",2022-10-01,0.4945992334534697,water
water_6,"[-13.14242752241716, 8.905334849912931]",2022-10-01,0.4674946190601316,water
water_7,"[-13.088528605379402, 8.84245278003203]",2022-10-01,0.461780244937779,water
water_8,"[-12.95378131275941, 8.84245278002366]",2022-10-01,0.4320789010464607,water
water_9,"[-12.935815007084505, 8.842452780012373]",2022-10-01,0.4619862314339824,water
water_10,"[-12.96276446559519, 8.833469627186803]",2022-10-01,0.4187492400812094,water
water_11,"[-12.055466028685446, 8.51905927773385]",2022-10-01,0.5164049789950684,water
water_12,"[-12.94479815997975, 8.258547845352313]",2022-10-01,0.5288875721320875,water
water_13,"[-12.055466028691816, 8.240581539665405]",2022-10-01,0.5584541457240608,water
water_14,"[-12.944798159973324, 8.159733164099736]",2022-10-01,0.5845391500861804,water
water_15,"[-11.23799912014679, 8.132783705572672]",2022-10-01,0.5275911011461646,water
water_16,"[-12.863949784393467, 8.087867941373343]",2022-10-01,0.4880636052208688,water
water_17,"[-12.819034020208475, 8.087867941376794]",2022-10-01,0.49179100289814,water
water_18,"[-12.100381792913568, 8.069901635684584]",2022-10-01,0.4857102924286275,water
water_19,"[-10.779858325253915, 8.060918482844635]",2022-10-01,0.5532068691895786,water
water_20,"[-10.851723548002868, 7.989053260113526]",2022-10-01,0.5712645236023871,water
water_21,"[-11.552409469607992, 7.890238578863231]",2022-10-01,0.4720921536385485,water
water_22,"[-10.995453993464041, 7.890238578863123]",2022-10-01,0.4846640601104532,water
water_23,"[-12.468691059386448, 7.8093902033019535]",2022-10-01,0.5443476848797781,water
water_24,"[-12.441741600869154, 7.773457591919722]",2022-10-01,0.5564891654589014,water
water_25,"[-12.405808989535196, 7.76447443908566]",2022-10-01,1.055632644171409,water
water_26,"[-11.911735583261247, 7.737524980562998]",2022-10-01,1.2908462794168485,water
water_27,"[-12.423775295221285, 7.728541827713449]",2022-10-01,0.4365406459282919,water
water_28,"[-12.396825836693882, 7.719558674878638]",2022-10-01,0.5068963390014954,water
water_29,"[-12.306994308285407, 7.656676604990729]",2022-10-01,1.502237962311298,water
water_30,"[-13.043612841263386, 7.647693452148886]",2022-10-01,0.5068767581851866,water
water_31,"[-12.684286727620973, 7.638710299305395]",2022-10-01,0.5309086204701114,water
water_32,"[-12.630387810576774, 7.638710299317635]",2022-10-01,0.558972119563547,water
water_33,"[-12.001567111681483, 7.620743993632853]",2022-10-01,0.4607129213086702,water
water_34,"[-12.558522587852336, 7.6117608407887]",2022-10-01,0.4097911113144222,water
water_35,"[-12.603438352042737, 7.602777687946637]",2022-10-01,0.5321512414725903,water
water_36,"[-12.531573129311692, 7.602777687945088]",2022-10-01,0.3841744203346982,water
water_37,"[-12.522589976472553, 7.557861923742937]",2022-10-01,0.3129360301970494,water
water_38,"[-12.387842683862766, 7.530912465216971]",2022-10-01,0.4296120725239898,water
water_39,"[-12.477674212277792, 7.521929312366954]",2022-10-01,0.3041922180053036,water
water_40,"[-12.567505740686972, 7.432097783962978]",2022-10-01,0.4712854898209486,water
water_41,"[-12.43275844807948, 7.4141314782702015]",2022-10-01,0.3235631775796006,water
water_42,"[-12.3339437668326, 7.378198866912815]",2022-10-01,0.4081760091168001,water
water_43,"[-12.208179627045473, 7.360232561241698]",2022-10-01,0.4611737677520013,water
water_44,"[-12.019533417392697, 7.252434727128357]",2022-10-01,0.408666418844553,water
water_45,"[-11.723089373642267, 7.189552657250459]",2022-10-01,0.4967360900651389,water
water_46,"[-11.723089373635066, 7.180569504401877]",2022-10-01,0.492907208523311,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-10-01,0.4707232405462739,water
water_48,"[-11.516476858288623, 7.180569504403723]",2022-10-01,0.4615621128112426,water
water_49,"[-11.705123067960347, 7.17158635157053]",2022-10-01,0.4964152702715948,water
water_50,"[-11.696139915113449, 7.162603198724094]",2022-10-01,0.5188723578561513,water
water_51,"[-11.830887207734873, 7.153620045877145]",2022-10-01,0.5409349520312579,water
water_52,"[-11.759021984998498, 7.126670587344687]",2022-10-01,0.48309603668821,water
water_53,"[-11.54342631682305, 7.009889600421488]",2022-10-01,0.4316907549343513,water
water_0,"[-12.666320421819876, 9.004149531159928]",2022-11-01,0.4124366858112332,water
water_1,"[-13.23225905083299, 8.95923376696415]",2022-11-01,0.3569661072749648,water
water_2,"[-12.792084561613684, 8.941267461291122]",2022-11-01,0.3996310459476473,water
water_3,"[-13.124461216741897, 8.923301155597281]",2022-11-01,0.3494279368382525,water
water_4,"[-13.043612841166503, 8.923301155604603]",2022-11-01,0.3672587930073501,water
water_5,"[-13.23225905084012, 8.914318002754365]",2022-11-01,0.3960483455502527,water
water_6,"[-13.14242752241716, 8.905334849912931]",2022-11-01,0.3404590748133065,water
water_7,"[-13.088528605379402, 8.84245278003203]",2022-11-01,0.3344582656020775,water
water_8,"[-12.95378131275941, 8.84245278002366]",2022-11-01,0.3487313217769498,water
water_9,"[-12.935815007084505, 8.842452780012373]",2022-11-01,0.3628430401288421,water
water_10,"[-12.96276446559519, 8.833469627186803]",2022-11-01,0.3537161560351299,water
water_11,"[-12.055466028685446, 8.51905927773385]",2022-11-01,0.3705077836097041,water
water_12,"[-12.94479815997975, 8.258547845352313]",2022-11-01,0.3716254449091553,water
water_13,"[-12.055466028691816, 8.240581539665405]",2022-11-01,0.3906005691694325,water
water_14,"[-12.944798159973324, 8.159733164099736]",2022-11-01,0.3238686093496324,water
water_15,"[-11.23799912014679, 8.132783705572672]",2022-11-01,0.3705761991844471,water
water_16,"[-12.863949784393467, 8.087867941373343]",2022-11-01,0.386895755370447,water
water_17,"[-12.819034020208475, 8.087867941376794]",2022-11-01,0.3447697234527304,water
water_18,"[-12.100381792913568, 8.069901635684584]",2022-11-01,0.362261987773567,water
water_19,"[-10.779858325253915, 8.060918482844635]",2022-11-01,0.4351860449038055,water
water_20,"[-10.851723548002868, 7.989053260113526]",2022-11-01,0.4140415499150144,water
water_21,"[-11.552409469607992, 7.890238578863231]",2022-11-01,0.3840567275239407,water
water_22,"[-10.995453993464041, 7.890238578863123]",2022-11-01,0.378339533553318,water
water_23,"[-12.468691059386448, 7.8093902033019535]",2022-11-01,0.2901112708642379,water
water_24,"[-12.441741600869154, 7.773457591919722]",2022-11-01,0.3237726516670031,water
water_25,"[-12.405808989535196, 7.76447443908566]",2022-11-01,0.919074344825147,water
water_26,"[-11.911735583261247, 7.737524980562998]",2022-11-01,0.6958120452855733,water
water_27,"[-12.423775295221285, 7.728541827713449]",2022-11-01,0.3731103700043793,water
water_28,"[-12.396825836693882, 7.719558674878638]",2022-11-01,0.3917370697637212,water
water_29,"[-12.306994308285407, 7.656676604990729]",2022-11-01,1.1901395833046344,water
water_30,"[-13.043612841263386, 7.647693452148886]",2022-11-01,0.2753562062055911,water
water_31,"[-12.684286727620973, 7.638710299305395]",2022-11-01,0.3382465869801266,water
water_32,"[-12.630387810576774, 7.638710299317635]",2022-11-01,0.3159277369321372,water
water_33,"[-12.001567111681483, 7.620743993632853]",2022-11-01,0.3468999962179156,water
water_34,"[-12.558522587852336, 7.6117608407887]",2022-11-01,0.3458186698624064,water
water_35,"[-12.603438352042737, 7.602777687946637]",2022-11-01,0.3175085184767037,water
water_36,"[-12.531573129311692, 7.602777687945088]",2022-11-01,0.3063019995769463,water
water_37,"[-12.522589976472553, 7.557861923742937]",2022-11-01,0.3633656677178711,water
water_38,"[-12.387842683862766, 7.530912465216971]",2022-11-01,0.3781285728684332,water
water_39,"[-12.477674212277792, 7.521929312366954]",2022-11-01,0.3465954563495302,water
water_40,"[-12.567505740686972, 7.432097783962978]",2022-11-01,0.3366993203923978,water
water_41,"[-12.43275844807948, 7.4141314782702015]",2022-11-01,0.3089962166741284,water
water_42,"[-12.3339437668326, 7.378198866912815]",2022-11-01,0.3646367537644484,water
water_43,"[-12.208179627045473, 7.360232561241698]",2022-11-01,0.3171615284542682,water
water_44,"[-12.019533417392697, 7.252434727128357]",2022-11-01,0.292430313779206,water
water_45,"[-11.723089373642267, 7.189552657250459]",2022-11-01,0.2542175919113424,water
water_46,"[-11.723089373635066, 7.180569504401877]",2022-11-01,0.2332154732870907,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-11-01,0.2917207069577775,water
water_48,"[-11.516476858288623, 7.180569504403723]",2022-11-01,0.3534341033173284,water
water_49,"[-11.705123067960347, 7.17158635157053]",2022-11-01,0.3096059945534181,water
water_50,"[-11.696139915113449, 7.162603198724094]",2022-11-01,0.2877640530603914,water
water_51,"[-11.830887207734873, 7.153620045877145]",2022-11-01,0.3477833788999765,water
water_52,"[-11.759021984998498, 7.126670587344687]",2022-11-01,0.3171372953589214,water
water_53,"[-11.54342631682305, 7.009889600421488]",2022-11-01,0.352098672759867,water
water_0,"[-12.666320421819876, 9.004149531159928]",2022-12-01,0.2746798757383592,water
water_1,"[-13.23225905083299, 8.95923376696415]",2022-12-01,0.2527558838161848,water
water_2,"[-12.792084561613684, 8.941267461291122]",2022-12-01,0.2349017644557806,water
water_3,"[-13.124461216741897, 8.923301155597281]",2022-12-01,0.2299382781476188,water
water_4,"[-13.043612841166503, 8.923301155604603]",2022-12-01,0.2563175751113118,water
water_5,"[-13.23225905084012, 8.914318002754365]",2022-12-01,0.2497156165649974,water
water_6,"[-13.14242752241716, 8.905334849912931]",2022-12-01,0.2435524471422,water
water_7,"[-13.088528605379402, 8.84245278003203]",2022-12-01,0.2265207605912886,water
water_8,"[-12.95378131275941, 8.84245278002366]",2022-12-01,0.2346760849799316,water
water_9,"[-12.935815007084505, 8.842452780012373]",2022-12-01,0.2273767533596552,water
water_10,"[-12.96276446559519, 8.833469627186803]",2022-12-01,0.2399021121442563,water
water_11,"[-12.055466028685446, 8.51905927773385]",2022-12-01,0.2540416936808664,water
water_12,"[-12.94479815997975, 8.258547845352313]",2022-12-01,0.2307945141719034,water
water_13,"[-12.055466028691816, 8.240581539665405]",2022-12-01,0.2978588694557196,water
water_14,"[-12.944798159973324, 8.159733164099736]",2022-12-01,0.2724538366381829,water
water_15,"[-11.23799912014679, 8.132783705572672]",2022-12-01,0.3194774812671628,water
water_16,"[-12.863949784393467, 8.087867941373343]",2022-12-01,0.2487525697475202,water
water_17,"[-12.819034020208475, 8.087867941376794]",2022-12-01,0.2518071323810922,water
water_18,"[-12.100381792913568, 8.069901635684584]",2022-12-01,0.2467576838947893,water
water_19,"[-10.779858325253915, 8.060918482844635]",2022-12-01,0.3025415835425609,water
water_20,"[-10.851723548002868, 7.989053260113526]",2022-12-01,0.3962297370548605,water
water_21,"[-11.552409469607992, 7.890238578863231]",2022-12-01,0.2866537856612005,water
water_22,"[-10.995453993464041, 7.890238578863123]",2022-12-01,0.291685900633615,water
water_23,"[-12.468691059386448, 7.8093902033019535]",2022-12-01,0.2737987620894581,water
water_24,"[-12.441741600869154, 7.773457591919722]",2022-12-01,0.3146512745706273,water
water_25,"[-12.405808989535196, 7.76447443908566]",2022-12-01,0.7181215342889244,water
water_26,"[-11.911735583261247, 7.737524980562998]",2022-12-01,0.6218099042788039,water
water_27,"[-12.423775295221285, 7.728541827713449]",2022-12-01,0.2741446873490403,water
water_28,"[-12.396825836693882, 7.719558674878638]",2022-12-01,0.3172342049708436,water
water_29,"[-12.306994308285407, 7.656676604990729]",2022-12-01,1.0849602584991511,water
water_30,"[-13.043612841263386, 7.647693452148886]",2022-12-01,0.2387512407859045,water
water_31,"[-12.684286727620973, 7.638710299305395]",2022-12-01,0.2598260380866012,water
water_32,"[-12.630387810576774, 7.638710299317635]",2022-12-01,0.2636621705782268,water
water_33,"[-12.001567111681483, 7.620743993632853]",2022-12-01,0.2958403232095158,water
water_34,"[-12.558522587852336, 7.6117608407887]",2022-12-01,0.2662522352400782,water
water_35,"[-12.603438352042737, 7.602777687946637]",2022-12-01,0.2637564541444464,water
water_36,"[-12.531573129311692, 7.602777687945088]",2022-12-01,0.244025989666541,water
water_37,"[-12.522589976472553, 7.557861923742937]",2022-12-01,0.2740907674487292,water
water_38,"[-12.387842683862766, 7.530912465216971]",2022-12-01,0.2421079109339154,water
water_39,"[-12.477674212277792, 7.521929312366954]",2022-12-01,0.2881935902446991,water
water_40,"[-12.567505740686972, 7.432097783962978]",2022-12-01,0.2927744048412121,water
water_41,"[-12.43275844807948, 7.4141314782702015]",2022-12-01,0.2538532476667919,water
water_42,"[-12.3339437668326, 7.378198866912815]",2022-12-01,0.2971983090347725,water
water_43,"[-12.208179627045473, 7.360232561241698]",2022-12-01,0.3069325104073288,water
water_44,"[-12.019533417392697, 7.252434727128357]",2022-12-01,0.2971070025717898,water
water_45,"[-11.723089373642267, 7.189552657250459]",2022-12-01,0.3099716095910876,water
water_46,"[-11.723089373635066, 7.180569504401877]",2022-12-01,0.3040215670836678,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-12-01,0.2834886561452155,water
water_48,"[-11.516476858288623, 7.180569504403723]",2022-12-01,0.331223720436588,water
water_49,"[-11.705123067960347, 7.17158635157053]",2022-12-01,0.2860228925176326,water
water_50,"[-11.696139915113449, 7.162603198724094]",2022-12-01,0.310578706476487,water
water_51,"[-11.830887207734873, 7.153620045877145]",2022-12-01,0.2770577136756821,water
water_52,"[-11.759021984998498, 7.126670587344687]",2022-12-01,0.2749349422048786,water
water_53,"[-11.54342631682305, 7.009889600421488]",2022-12-01,0.2564539732745748,water
water_0,"[-12.666320421819876, 9.004149531159928]",2023-01-01,0.1903930907583087,water
water_1,"[-13.23225905083299, 8.95923376696415]",2023-01-01,0.163615185703091,water
water_2,"[-12.792084561613684, 8.941267461291122]",2023-01-01,0.155374324253443,water
water_3,"[-13.124461216741897, 8.923301155597281]",2023-01-01,0.1500067476850409,water
water_4,"[-13.043612841166503, 8.923301155604603]",2023-01-01,0.1477340527179984,water
water_5,"[-13.23225905084012, 8.914318002754365]",2023-01-01,0.1758530258627071,water
water_6,"[-13.14242752241716, 8.905334849912931]",2023-01-01,0.159109811110724,water
water_7,"[-13.088528605379402, 8.84245278003203]",2023-01-01,0.1623433409497465,water
water_8,"[-12.95378131275941, 8.84245278002366]",2023-01-01,0.1728824984684971,water
water_9,"[-12.935815007084505, 8.842452780012373]",2023-01-01,0.1592367387546656,water
water_10,"[-12.96276446559519, 8.833469627186803]",2023-01-01,0.1763448642528262,water
water_11,"[-12.055466028685446, 8.51905927773385]",2023-01-01,0.1498870485330911,water
water_12,"[-12.94479815997975, 8.258547845352313]",2023-01-01,0.1790961572851572,water
water_13,"[-12.055466028691816, 8.240581539665405]",2023-01-01,0.1399843855165546,water
water_14,"[-12.944798159973324, 8.159733164099736]",2023-01-01,0.1488856666546564,water
water_15,"[-11.23799912014679, 8.132783705572672]",2023-01-01,0.179287391733951,water
water_16,"[-12.863949784393467, 8.087867941373343]",2023-01-01,0.1547793350383058,water
water_17,"[-12.819034020208475, 8.087867941376794]",2023-01-01,0.1855158715737687,water
