id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
water_11,"[-12.055466028685446, 8.51905927773385]",2022-01-01,0.1793766119978119,water,0.3013672692560187,-0.38183005904809125,0.9845645975601287
water_12,"[-12.94479815997975, 8.258547845352313]",2022-01-01,0.1845298196920629,water,0.20900906525277138,-0.47418826305133854,0.8922063935568814
water_13,"[-12.055466028691816, 8.240581539665405]",2022-01-01,0.2026005346191102,water,0.2152102197749603,-0.46798710852914965,0.8984075480790703
water_14,"[-12.944798159973324, 8.159733164099736]",2022-01-01,0.1755257600972628,water,0.21610745309833396,-0.467089875205776,0.899304781402444
water_15,"[-11.23799912014679, 8.132783705572672]",2022-01-01,0.1642220645315142,water,0.2296607549378656,-0.4535365733662443,0.9128580832419756
water_16,"[-12.863949784393467, 8.087867941373343]",2022-01-01,0.1829817179297516,water,0.19090372961503527,-0.4922935986890747,0.8741010579191453
water_17,"[-12.819034020208475, 8.087867941376794]",2022-01-01,0.1990267329248947,water,0.19727799840987753,-0.4859193298942324,0.8804753267139875
water_18,"[-12.100381792913568, 8.069901635684584]",2022-01-01,0.2018618576304727,water,0.20891421396700263,-0.47428311433710735,0.8921115422711126
water_19,"[-10.779858325253915, 8.060918482844635]",2022-01-01,0.1520510267689803,water,0.22525256985498654,-0.4579447584491234,0.9084498981590965
water_20,"[-10.851723548002868, 7.989053260113526]",2022-01-01,0.172651428145656,water,0.22913696162873876,-0.4540603666753712,0.9123342899328487
water_21,"[-11.552409469607992, 7.890238578863231]",2022-01-01,0.2076036048751097,water,0.2177600933924756,-0.46543723491163436,0.9009574216965855
water_22,"[-10.995453993464041, 7.890238578863123]",2022-01-01,0.1088061100813279,water,0.21475538206115674,-0.4684419462429532,0.8979527103652667
water_23,"[-12.468691059386448, 7.8093902033019535]",2022-01-01,0.1577486728654693,water,0.19532008482268426,-0.4878772434814257,0.8785174131267942
water_24,"[-12.441741600869154, 7.773457591919722]",2022-01-01,0.1675077081615018,water,0.21401215072809535,-0.46918517757601463,0.8972094790322053
water_25,"[-12.405808989535196, 7.76447443908566]",2022-01-01,0.4585159109823554,water,0.5812150090878231,-0.10198231921628687,1.2644123373919331
